sample	event	chrom	start	type	error_group	rep	depth	purity
visorR1	98	X	6654982	inversion	fp	1	shallow	100
visorR1	-	2R	9938000	deletion	fn	1	shallow	100
visorR1	-	3L	8887000	deletion	fn	1	shallow	100
visorR1	20	2L	12489000	deletion	tp	1	shallow	100
visorR1	-	2L	6655000	inversion	fn	1	shallow	100
visorR1	58	3R	5000000	deletion	tp	1	shallow	100
visorR1	13	2L	9437000	inversion	tp	1	shallow	100
visorR1	-	2R	5550000	deletion	fn	1	shallow	100
visorR1	-	4	969000	deletion	fn	1	shallow	100
visorR1	-	2R	12489000	deletion	fn	1	shallow	100
visorR1	-	X	6655000	inversion	fn	1	shallow	100
visorR1	-	2R	6150000	tandem duplication	fn	1	shallow	100
visorR1	55	3L	11485000	inversion	tp	1	shallow	100
visorR1	84	4	610000	deletion	tp	1	shallow	100
visorR1	-	4	415000	inversion	fn	1	shallow	100
visorR1	-	X	10970000	tandem duplication	fn	1	shallow	100
visorR1	-	2L	10970000	tandem duplication	fn	1	shallow	100
visorR1	38	2R	11485000	inversion	tp	1	shallow	100
visorR1	82	4	440000	deletion	tp	1	shallow	100
visorR1	-	2R	10463000	inversion	fn	1	shallow	100
visorR1	69	3R	9437000	inversion	tp	1	shallow	100
visorR1	-	3L	6150000	tandem duplication	fn	1	shallow	100
visorR1	-	3R	7160000	deletion	fn	1	shallow	100
visorR1	-	3L	9938000	deletion	fn	1	shallow	100
visorR1	-	X	12489000	deletion	fn	1	shallow	100
visorR1	89	4	817989	deletion	fp	1	shallow	100
visorR1	32	2R	9437000	inversion	tp	1	shallow	100
visorR1	-	4	818000	deletion	fn	1	shallow	100
visorR1	-	3R	12489000	deletion	fn	1	shallow	100
visorR1	6	2L	7160000	deletion	tp	1	shallow	100
visorR1	-	X	8312000	tandem duplication	fn	1	shallow	100
visorR1	61	3R	6150000	tandem duplication	tp	1	shallow	100
visorR1	16	2L	10463000	inversion	tp	1	shallow	100
visorR1	-	2R	7160000	deletion	fn	1	shallow	100
visorR1	-	X	5550000	deletion	fn	1	shallow	100
visorR1	-	3L	8312000	tandem duplication	fn	1	shallow	100
visorR1	91	4	890000	tandem duplication	tp	1	shallow	100
visorR1	56	3L	11987000	tandem duplication	tp	1	shallow	100
visorR1	-	2L	8887000	deletion	fn	1	shallow	100
visorR1	103	X	9437000	inversion	tp	1	shallow	100
visorR1	39	2R	11987000	tandem duplication	tp	1	shallow	100
visorR1	-	3R	5550000	deletion	fn	1	shallow	100
visorR1	79	4	270000	deletion	tp	1	shallow	100
visorR1	85	4	632000	tandem duplication	tp	1	shallow	100
visorR1	50	3L	9437000	inversion	tp	1	shallow	100
visorR1	1	2L	5000000	deletion	tp	1	shallow	100
visorR1	-	2R	7810000	deletion	fn	1	shallow	100
visorR1	36	2R	10970000	tandem duplication	tp	1	shallow	100
visorR1	100	X	7810000	deletion	tp	1	shallow	100
visorR1	105	X	10463000	inversion	tp	1	shallow	100
visorR1	-	3R	9938000	deletion	fn	1	shallow	100
visorR1	-	3R	8312000	tandem duplication	fn	1	shallow	100
visorR1	-	2L	7810000	deletion	fn	1	shallow	100
visorR1	-	2L	11987000	tandem duplication	fn	1	shallow	100
visorR1	21	2R	5028599	deletion	fp	1	shallow	100
visorR1	-	3L	5550000	deletion	fn	1	shallow	100
visorR1	45	3L	7810000	deletion	tp	1	shallow	100
visorR1	-	X	6150000	tandem duplication	fn	1	shallow	100
visorR1	-	X	9938000	deletion	fn	1	shallow	100
visorR1	-	3L	7160000	deletion	fn	1	shallow	100
visorR1	-	2R	5000000	deletion	fn	1	shallow	100
visorR1	19	2L	11485000	inversion	tp	1	shallow	100
visorR1	107	X	11485000	inversion	tp	1	shallow	100
visorR1	-	2L	5550000	deletion	fn	1	shallow	100
visorR1	81	4	390000	tandem duplication	tp	1	shallow	100
visorR1	-	2R	8312000	tandem duplication	fn	1	shallow	100
visorR1	95	X	5000000	deletion	tp	1	shallow	100
visorR1	-	X	7160000	deletion	fn	1	shallow	100
visorR1	5	2L	6654991	inversion	fp	1	shallow	100
visorR1	-	X	8887000	deletion	fn	1	shallow	100
visorR1	88	4	727000	deletion	tp	1	shallow	100
visorR1	-	3R	8887000	deletion	fn	1	shallow	100
visorR1	-	2L	6150000	tandem duplication	fn	1	shallow	100
visorR1	93	4	947000	tandem duplication	tp	1	shallow	100
visorR1	9	2L	8312000	tandem duplication	tp	1	shallow	100
visorR1	52	3L	10463000	inversion	tp	1	shallow	100
visorR1	-	3R	11987000	tandem duplication	fn	1	shallow	100
visorR1	77	4	200000	deletion	tp	1	shallow	100
visorR1	-	3L	10970000	tandem duplication	fn	1	shallow	100
visorR1	72	3R	10463000	inversion	tp	1	shallow	100
visorR1	90	4	863000	inversion	tp	1	shallow	100
visorR1	-	3R	10970000	tandem duplication	fn	1	shallow	100
visorR1	75	3R	11485000	inversion	tp	1	shallow	100
visorR1	14	2L	9938000	deletion	tp	1	shallow	100
visorR1	92	4	925000	inversion	tp	1	shallow	100
visorR1	-	2R	8887000	deletion	fn	1	shallow	100
visorR1	-	3L	6655000	inversion	fn	1	shallow	100
visorR1	40	3L	5000000	deletion	tp	1	shallow	100
visorR1	35	2R	10462969	inversion	fp	1	shallow	100
visorR1	62	3R	6655000	inversion	tp	1	shallow	100
visorR1	-	3L	12489000	deletion	fn	1	shallow	100
visorR1	-	3R	7810000	deletion	fn	1	shallow	100
visorR1	108	X	11987000	tandem duplication	tp	1	shallow	100
visorR1	-	4	797000	inversion	fn	1	shallow	100
visorR1	25	2R	6655000	inversion	tp	1	shallow	100
visorR3	-	2R	9938000	deletion	fn	1	shallow	80
visorR3	-	3L	8887000	deletion	fn	1	shallow	80
visorR3	20	2L	12489000	deletion	tp	1	shallow	80
visorR3	57	3R	5000000	deletion	tp	1	shallow	80
visorR3	40	3L	6654946	inversion	fp	1	shallow	80
visorR3	12	2L	9437000	inversion	tp	1	shallow	80
visorR3	-	2R	5550000	deletion	fn	1	shallow	80
visorR3	-	4	969000	deletion	fn	1	shallow	80
visorR3	-	2R	12489000	deletion	fn	1	shallow	80
visorR3	93	X	6655000	inversion	tp	1	shallow	80
visorR3	23	2R	6150000	tandem duplication	tp	1	shallow	80
visorR3	53	3L	11485000	inversion	tp	1	shallow	80
visorR3	79	4	610000	deletion	tp	1	shallow	80
visorR3	-	4	415000	inversion	fn	1	shallow	80
visorR3	-	X	10970000	tandem duplication	fn	1	shallow	80
visorR3	-	2L	10970000	tandem duplication	fn	1	shallow	80
visorR3	36	2R	11485000	inversion	tp	1	shallow	80
visorR3	77	4	440000	deletion	tp	1	shallow	80
visorR3	33	2R	10463000	inversion	tp	1	shallow	80
visorR3	-	3R	9437000	inversion	fn	1	shallow	80
visorR3	-	3L	6150000	tandem duplication	fn	1	shallow	80
visorR3	-	2R	7160000	deletion	fn	1	shallow	80
visorR3	-	3R	7160000	deletion	fn	1	shallow	80
visorR3	-	3L	9938000	deletion	fn	1	shallow	80
visorR3	-	X	12489000	deletion	fn	1	shallow	80
visorR3	30	2R	9437000	inversion	tp	1	shallow	80
visorR3	83	4	818000	deletion	tp	1	shallow	80
